PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,lon,lat
123,SICILIA,36/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 6' 39,75''","13° 22' 28,98''",10.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,2400.0,25.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",sì,13.374717,38.111042
124,SICILIA,37/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 6' 41,15''","13° 22' 23,52''",15.0,sì,Dracena draco L.,Albero del drago,300.0,8.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica",no,13.373200,38.111431
125,SICILIA,38/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 06' 44,94''","13° 22' 23,88''",10.0,sì,Cycas revoluta Thunb.,Cycas,220.0,8.0,"a) età e/o dimensioni
d) rarità botanica",no,13.373300,38.112483
126,SICILIA,39/G273/PA/19,Palermo,Palermo,Orto Botanico,"38° 6' 41,91''","13° 22' 28,26''",10.0,sì,"Araucaria columnaris, (G. Forst) Hook",Pino colonna,340.0,36.0,"a) età e/o dimensioni
d) rarità botanica",no,13.374517,38.111642
127,SICILIA,40/G273/PA/19,Palermo,Palermo,Villa Tasca - Viale Regione Siciliana,"38° 5' 56,91''","13° 19' 37,28''",89.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,2730.0,30.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",sì,13.327022,38.099142
128,SICILIA,41/G273/PA/19,Palermo,Palermo,Villa Tasca - Viale Regione Siciliana,"38° 5' 56,03''","13° 19' 40,38''",88.0,sì,"Araucaria columnaris, (G. Forst) Hook",Pino colonna,370.0,38.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",sì,13.327883,38.098897
129,SICILIA,42/G273/PA/19,Palermo,Palermo,Villa Tasca,"38° 5' 55,56''","13° 19' 39,04''",88.0,sì,Araucaria heterophylla (Salisb.) Franco,Pino di Norfolk,480.0,36.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",sì,13.327511,38.098767
130,SICILIA,43/G273/PA/19,Palermo,Palermo,Villa Tasca,"38° 6' 1,95''","13° 19' 41,34''",83.0,sì,Platanus acerifolia (Aiton) Willd.,Platano comune,465.0,30.0,"a) età e/o dimensioni
c) valore ecologico",no,13.328150,38.100542
131,SICILIA,44/G273/PA/19,Palermo,Palermo,Villa Tasca,"38° 5' 55,81''","13° 19' 39,94''",87.0,sì,"Insieme omogeneo di Araucaria columnaris, (G. Forst) Hook",Pino colonna,"320 (med)
360 (max)","32,0 (med)
34,0 (max)","a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,13.327761,38.098836
132,SICILIA,45/G273/PA/19,Palermo,Palermo,Villa Tasca,"38° 5' 58,09''","13° 19' 47,52''",84.0,sì,Insieme omogeneo di Phoenix dactylifera L.,Palma da datteri,"250 (med)
280 (max)","15,0 (med)
18,0 (max)",a) età e/o dimensioni,no,13.329867,38.099469
133,SICILIA,46/G273/PA/19,Palermo,Palermo,Villa di Napoli,"38° 6' 24,32''","13° 20' 5,14''",68.0,sì,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,24.0,28.0,"a) età e/o dimensioni
c) valore ecologico",no,13.334761,38.106756
134,SICILIA,47/G273/PA/19,Palermo,Palermo,S.M. di Gesù,"38° 4' 55,16''","13° 22' 47,29''",112.0,sì,Olea europaea L.,Olivo,660.0,12.0,"a) età e/o dimensioni
c) valore ecologico",no,13.379803,38.081989
135,SICILIA,01/A014/RG/19,Ragusa,Acate,Lippia Litteri,"37° 1' 39,12''","14° 29' 11,3''",148.0,no,Olea europaea L.,Olivo,680.0,8.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,14.486472,37.027533
136,SICILIA,01/C612/RG/19,Ragusa,Chiaramonte Gulfi,Montesano - Muti,"37° 03' 46,07''","14° 41' 50,04''",450.0,no,Quercus pubescens Willd.,Roverella,460.0,17.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
g) valore storico, culturale, religioso",no,14.697233,37.062797
137,SICILIA,02/C612/RG/19,Ragusa,Chiaramonte Gulfi,Montesano - Muti,"37° 04' 23,15''","14° 41' 40,63''",490.0,no,Olea europaea L.,Olivo,470-340-230,6.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,14.694619,37.073097
138,SICILIA,03/C612/RG/19,Ragusa,Chiaramonte Gulfi,Muti,"37° 03' 50,37''","14° 41' 56,66''",478.0,no,Olea europaea L.,Olivo,215-395,4.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,14.699072,37.063992
139,SICILIA,01/E366/RG/19,Ragusa,Ispica,Palazzelli,"36° 46' 25,22''","14° 53' 57,54''",95.0,no,Olea europaea L.,Olivo,700.0,8.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,14.899317,36.773672
140,SICILIA,01/F258/RG/19,Ragusa,Modica,Favarottella,"36° 53' 42,75''","14° 52' 39,1''",360.0,no,Ceratonia siliqua L.,Carrubo,760.0,10.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,14.877528,36.895208
141,SICILIA,03/F258/RG/19,Ragusa,Modica,Miglifulo,"36° 52' 47,05''","14° 51' 54,07''",396.0,no,Ceratonia siliqua L.,Carrubo,850.0,12.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,14.865019,36.879736
142,SICILIA,04/F258/RG/19,Ragusa,Modica,Cammaratini,"36° 53' 06,57''",14° 53' 22'',340.0,no,Ceratonia siliqua L.,Carrubo,930.0,13.0,"a) età e/o dimensioni
c) valore ecologico",no,14.889444,36.885158
143,SICILIA,05/F258/RG/19,Ragusa,Modica,Cammaratini Cava Palomberi,"36° 52' 56,8''","14° 53' 12,5''",340.0,no,Ceratonia siliqua L.,Carrubo,960.0,9.5,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
f) pregio paesaggistico",no,14.886806,36.882444
144,SICILIA,01/H163/RG/19,Ragusa,Ragusa,Castello di Donna Fugata,"36° 52' 55,08''","14° 33' 52,71''",314.0,no,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,900.0,25.0,"a) età e/o dimensioni
b) forma e portamento
d) rarità botanica
e) architettura vegetale",no,14.564642,36.881967
145,SICILIA,02/H163/RG/19,Ragusa,Ragusa,Castello di Donna Fugata,"36° 52' 54,43''","14° 33' 53,32''",313.0,no,Ficus macrophylla Desf. ex Pers.,Fico magnolioide,950.0,25.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica
e) architettura vegetale",sì,14.564811,36.881786
146,SICILIA,03/H163/RG/19,Ragusa,Ragusa,Foce Fiume Irminio,"36° 46' 32,07''","14° 35' 33,27''",12.0,no,Pistacia lentiscus L.,Lentisco,140.0,3.0,"a) età e/o dimensioni
b) forma e portamento
f) pregio paesaggistico",no,14.592575,36.775575
147,SICILIA,01/F943/SR/19,Siracusa,Noto,San Nicola -Tellaro,"36° 50' 34,66''","15° 05' 22,18''",19.0,no,Ulmus minor Mill.,Olmo campestre,390.0,19.0,a) età e/o dimensioni,no,15.089494,36.842961
148,SICILIA,02/F943/SR/19,Siracusa,Noto,Pizzuta,"36° 50' 48,98''","15° 05' 43,3''",26.0,no,Prunus dulcis (Mill.) D.A. Webb,Mandorlo,270.0,9.0,"a) età e/o dimensioni
c) valore ecologico",no,15.095361,36.846939
149,SICILIA,03/F943/SR/19,Siracusa,Noto,San Nicola Belludia,"36° 50' 50,49''","15° 04' 34,1''",10.0,no,Tamarix africana Poir.,Tamerice africana,370.0,7.5,a) età e/o dimensioni,no,15.076139,36.847358
150,SICILIA,04/F943/SR/19,Siracusa,Noto,Cava Candelaro,"36° 50' 39,38''","14° 58' 43,99''",68.0,no,Ceratonia siliqua L.,Carrubo,1000.0,10.0,"a) età e/o dimensioni
c) valore ecologico",no,14.978886,36.844272
151,SICILIA,05/F943/SR/19,Siracusa,Noto,Piazza Xvi Maggio,"36° 53' 30,19''","15° 04' 04,72''",115.0,sì,Araucaria heterophylla (Salisb.) Franco,Pino di Norfolk,300.0,28.0,"a) età e/o dimensioni
d) rarità botanica
e) architettura vegetale",no,15.067978,36.891719
152,SICILIA,06/F943/SR/19,Siracusa,Noto,Tre Pezzi,"36° 57' 14,6''","14° 59' 09,44''",575.0,no,Pistacia lentiscus L.,Lentisco,150-120,5.0,a) età e/o dimensioni,no,14.985956,36.954056
153,SICILIA,07/F943/SR/19,Siracusa,Noto,Busulmone,"36° 53' 33,85''","15° 02' 12,63''",180.0,no,Olea europaea L.,Olivo,880.0,9.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico",no,15.036842,36.892736
154,SICILIA,08/F943/SR/19,Siracusa,Noto,Busulmone,"36° 53' 36,08''","15° 02' 12,36''",180.0,no,Prunus dulcis (Mill.) D.A. Webb,Mandorlo,130-140-100,9.0,a) età e/o dimensioni,no,15.036767,36.893356
155,SICILIA,09/F943/SR/19,Siracusa,Noto,Chiesa di Santa Lucia di Mendola,"37° 02' 08,93''","14° 54' 54,03''",650.0,no,Quercus ilex L.,Leccio,380.0,14.0,"a) età e/o dimensioni
c) valore ecologico
f) pregio paesaggistico
g) valore storico, culturale, religioso",no,14.915008,37.035814
156,SICILIA,01/G267/SR/19,Siracusa,Palazzolo Acreide,Villa Comunale,"37° 03' 30,17''","14° 54' 31,98''",659.0,sì,Cupressus sempervirens L.,Cipresso comune,718.0,19.0,"a) età e/o dimensioni
b) forma e portamento",no,14.908883,37.058381
157,SICILIA,02/G267/SR/19,Siracusa,Palazzolo Acreide,Villa Comunale,"37° 03' 29,81''","14° 54' 33,74''",659.0,sì,Cedrus libani A.Richard,Cedro del Libano,355.0,14.0,"a) età e/o dimensioni
b) forma e portamento",no,14.909372,37.058281
158,SICILIA,03/G267/SR/19,Siracusa,Palazzolo Acreide,Villa Comunale,"37° 03' 27,67''","14° 54' 37,53''",643.0,sì,Quercus ilex L.,Leccio,565.0,24.0,a) età e/o dimensioni,no,14.910425,37.057686
159,SICILIA,04/G267/SR/19,Siracusa,Palazzolo Acreide,Contrada Bibbiniello,"37° 04' 31,67''","14° 57' 18,29''",460.0,no,Juglans regia L.,Noce comune,330.0,13.0,a) età e/o dimensioni,no,14.955081,37.075464
