PROGR,REGIONE,ID SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE SU GIS,LONGITUDINE SU GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO,SPECIE NOME SCIENTIFICO,SPECIE NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,lon,lat
68,SICILIA,05/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 44,76''","14° 28' 52,85''",1460.0,no,Acer campestre L.,Acero campestre,405.0,14.0,"a) età e/o dimensioni
c) valore ecologico",no,14.481347,37.895767
69,SICILIA,06/B804/ME/19,Messina,Caronia,Bosco Tassita,"37° 53' 46,75''","14° 28' 41,33''",1448.0,no,Fagus sylvatica L.,Faggio,500.0,15.0,"a) età e/o dimensioni
c) valore ecologico",no,14.478147,37.896319
70,SICILIA,01/D825/ME/19,Messina,Furnari,Furnari,"38° 6' 32,93''","15° 7' 31,41''",136.0,sì,Pinus pinea L.,Pino domestico,130.0,10.0,"b) forma e portamento
f) pregio paesaggistico",no,15.125392,38.109147
71,SICILIA,01/I086/ME/19,Messina,San Piero Patti,Manganello - Agriturismo Il Daino,"38° 2' 51,07''","14° 59' 9,07''",606.0,no,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,550.0,19.0,"a) eta` e/o dimensioni
c) valore ecologico",no,14.985853,38.047519
72,SICILIA,01/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 51' 1,93''","15° 16' 52,04''",164.0,sì,Dracaena draco L.,Albero del drago,200.0,8.0,"a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,15.281122,37.850536
73,SICILIA,02/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 56,48''","15° 16' 52,86''",159.0,no,Insieme omogeneo di Ficus macrophylla Desf. ex Pers.,Fico magnolioide,"500 (med)
550 (max)","12,0 (med)
15,0 (max)","a) età e/o dimensioni
c) valore ecologico
d) rarità botanica",no,15.281350,37.849022
74,SICILIA,03/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 53,88''","15° 16' 53,24''",162.0,no,Ceratonia siliqua L.,Carrubo,800.0,8.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281456,37.848300
75,SICILIA,04/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 54,39''","15° 16' 53,05''",190.0,no,Cupressus sempervirens L.,Cipresso comune,200.0,30.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281403,37.848442
76,SICILIA,05/L042/ME/19,Messina,Taormina,Excelsior Palace,"37° 50' 58,36''","15° 16' 51,61''",180.0,no,Cupressus sempervirens L.,Cipresso comune,200.0,30.0,"a) età e/o dimensioni
c) valore ecologico",no,15.281003,37.849544
77,SICILIA,01/A882/PA/19,Palermo,Bisacquino,Santa Maria del Bosco - Valvino - Strada Provinciale N. 35,"37° 42' 40,21''",13° 13' 17'',709.0,sì,Quercus virgiliana (Ten.) Ten.,Quercia castagnara,420.0,25.0,"a) età e/o dimensioni
b) forma e portamento
c) valore ecologico
d) rarità botanica",no,13.221389,37.711169
